0,3,6,237.64,254.802,236.755
8,6,8,144.624,22.516,137.037
0,1,8,30.44,252.6,78.454
1,1,4,317.891,159.738,19.691
2,1,4,198.325,92.774,200.252
3,2,8,241.796,334.353,159.655
7,4,3,325.121,182.812,43.672
2,8,0,154.896,138.263,24.526
4,2,1,314.836,165.375,202.068
1,7,8,102.457,97.486,347.006
3,1,1,318.565,329.637,6.675
2,5,3,139.31,249.584,208.355
0,2,8,338.533,135.326,104.2
7,3,3,38.062,64.19,9.69
2,0,7,18.812,329.354,128.485
2,7,5,190.284,356.901,236.34
5,8,8,354.907,108.698,275.457
6,3,7,291.785,169.532,142.768
7,1,3,47.296,299.05,203.181
8,0,1,312.154,148.869,356.128
5,7,0,241.986,226.992,186.072
1,1,3,233.777,264.963,256.601
7,2,6,113.431,278.158,268.866
3,5,4,293.121,126.746,62.381
6,6,2,142.246,57.748,330.977
8,8,6,65.988,129.14,229.422
4,7,7,149.945,278.139,46.809
7,0,4,281.629,206.023,310.205
6,1,4,333.395,158.687,279.731
4,4,3,36.27,311.267,180.499
1,5,4,76.498,209.486,164.053
3,7,7,320.861,264.731,238.874
4,4,3,5.371,98.94,248.48
7,8,3,187.038,60.175,165.985
8,6,1,150.741,117.911,289.023
0,7,5,144.018,99.852,116.378
2,5,1,193.279,256.653,108.608
3,7,2,42.591,310.793,73.912
8,1,8,273.217,60.684,111.274
2,6,6,275.884,236.984,188.257
5,7,5,240.755,7.08,86.894
8,5,8,263.086,136.475,175.439
2,5,3,353.775,189.099,71.752
8,0,0,327.35,318.997,292.383
0,7,7,288.144,209.748,125.265
6,0,1,348.383,125.064,64.189
3,6,8,340.199,254.199,311.688
7,0,3,76.445,198.271,156.913
6,1,6,337.187,95.293,319.866
0,6,2,112.307,269.825,336.377
6,0,6,357.715,152.669,347.867
7,1,3,31.008,119.848,5.697
3,8,4,58.497,7.41,335.319
1,2,6,133.615,268.25,143.379
8,6,0,25.351,12.626,187.659
1,0,1,227.346,116.874,5.571
1,7,2,167.241,119.324,321.955
5,8,0,171.84,338.727,112.728
6,6,3,61.41,298.006,25.781
6,7,4,279.786,271.688,190.179
2,5,1,199.213,251.21,46.62
6,1,1,228.264,18.98,192.158
5,5,6,270.923,357.718,304.742
7,7,6,357.539,186.791,351.592
1,4,3,174.475,295.657,193.125
3,2,7,138.983,122.585,153.321
8,4,5,78.247,87.348,47.0
3,6,2,263.851,173.659,348.77
8,0,5,99.447,23.798,307.146
7,7,1,313.249,85.807,199.849
7,0,4,154.158,225.075,77.448
5,3,0,115.332,234.106,166.277
2,2,0,64.686,24.243,200.177
4,2,4,346.304,41.696,321.043
3,8,2,347.856,314.767,118.023
4,5,1,172.363,112.332,92.048
3,4,5,118.869,163.137,25.979
2,2,6,111.39,67.98,327.214
7,4,2,347.077,141.134,215.603
1,4,7,94.744,287.538,277.247
0,7,1,196.297,359.246,85.967
8,4,6,214.595,188.134,306.247
4,2,3,235.307,313.909,194.702
