predict,target
0.10311999999999999,-0.13
-0.04074,0.19
-0.09971999999999999,0.27
-0.12186,-0.01
0.08578,-0.18
0.10308,-0.18
-0.11032,0.45
0.13772,-0.14
-0.10046,-0.16
-0.10058,-0.07
-0.0401,0.12
0.02556,-0.44
-0.01194,-0.03
-0.11502000000000001,-0.1
0.09423999999999999,-0.07
0.0947,0.31
-0.15694,0.33
-0.04258,0.36
-0.056760000000000005,0.15
-0.13776,-0.38
-0.06512,0.15
0.12014,0.24
0.00614,0.39
-0.024540000000000003,0.34
-0.04814,0.16
-0.0934,0.18
-0.0851,-0.11
-0.07952,-0.17
0.05362,-0.08
0.03804,0.32
0.04298,-0.22
0.011479999999999999,0.12
-0.09242,0.29
-0.04476,-0.23
-0.08886,-0.15
-0.20794,0.48
0.054880000000000005,0.28
-0.02106,-0.31
0.09386,0.05
-0.00588,0.16
-0.0074,0.03
0.02866,-0.13
-0.0581,-0.22
-0.12528,-0.3
-0.1128,0.2
-0.047259999999999996,0.23
-0.12552,-0.41
-0.10928,-0.25
-0.00498,-0.02
-0.036000000000000004,-0.26
0.03434,0.23
0.023119999999999998,-0.07
-0.03088,-0.35
0.0632,-0.34
0.09029999999999999,0.24
-0.11618,-0.38
-0.04378,0.37
-0.06412,0.25
0.10324,0.41
-0.1916,0.5
-0.05822,0.14
0.10392,0.12
0.0010199999999999999,0.02
-0.11928000000000001,-0.07
-0.09294000000000001,-0.44
0.013000000000000001,-0.09
-0.06341999999999999,-0.41
0.08404,-0.06
-0.12273999999999999,0.03
0.0207,-0.38
-0.13524,-0.37
-0.23434000000000002,0.34
-0.03492,0.22
-0.20559999999999998,0.19
0.07200000000000001,0.01
-0.04994,0.32
-0.11922,-0.15
-0.03068,0.09
-0.07082,0.14
-0.05344,-0.25
0.09132,-0.02
0.10278000000000001,-0.18
-0.10710000000000001,0.19
0.10898,-0.08
0.09016,0.1
-0.02218,-0.03
-0.10418,0.0
-0.07862,-0.38
0.047220000000000005,-0.05
0.04954,-0.35
-0.054939999999999996,0.44
-0.03798,-0.3
-0.06332,-0.33
0.14066,0.09
-0.07914,-0.48
-0.06702,-0.08
-0.12176000000000001,-0.06
-0.048659999999999995,0.45
0.11810000000000001,0.07
-0.0387,0.48
0.0662,-0.3
-0.12115999999999999,-0.28
0.11936,-0.4
-0.08385999999999999,0.1
-0.25036,0.43
-0.08932000000000001,-0.5
0.08984,-0.42
0.07878,0.33
0.011439999999999999,-0.22
-0.025939999999999998,0.3
0.0663,0.27
0.07937999999999999,0.31
0.11471999999999999,0.36
-0.22908,0.07
-0.0562,0.22
0.10135999999999999,0.26
0.08954000000000001,0.28
0.10310000000000001,-0.09
-0.0269,-0.33
0.10274,-0.09
0.08026,-0.36
0.0874,0.21
0.006840000000000001,-0.37
0.07054,-0.37
-0.07366,0.37
-0.08407999999999999,-0.03
0.10088,-0.23
-0.08292,-0.44
0.18516,0.37
-0.10827999999999999,0.33
-0.10542,-0.18
-0.0898,-0.3
0.12656,-0.26
-0.033,0.42
-0.06164,-0.24
0.0326,0.49
0.09936,0.32
0.06966,-0.26
0.054740000000000004,-0.34
0.058600000000000006,0.18
0.00404,0.06
-0.11084,-0.18
-0.0705,0.27
0.0159,0.07
-0.08334,-0.35
0.03844,-0.04
0.17300000000000001,0.29
-0.109,0.01
0.03094,-0.15
-0.09848000000000001,0.27
0.04686,0.14
-0.08884,0.15
0.04134,0.14
0.10696,-0.46
-0.12380000000000001,-0.21
0.07092,0.33
-0.04992,-0.3
0.08804000000000001,0.27
0.10619999999999999,-0.04
0.13748,-0.25
-0.03742,0.01
-0.060919999999999995,-0.11
-0.15732,0.0
0.09378,0.45
0.09836,0.02
-0.05332,-0.35
0.0168,0.47
0.08488,0.04
-0.13554,-0.05
-0.13978,0.23
-0.05686,-0.22
-0.08764,-0.09
0.00124,0.45
-0.01262,-0.22
0.08396,-0.26
-0.09362,0.21
0.10715999999999999,0.46
0.0955,0.45
-0.0562,0.16
-0.03102,-0.27
-0.1125,0.3
0.03842,-0.05
-0.02226,0.4
-0.07766,0.21
0.10146000000000001,0.13
-0.00712,-0.49
0.06309999999999999,-0.25
-0.02552,-0.33
0.10542,0.46
-0.10824,0.25
-0.05128,0.32
0.09635999999999999,0.03
0.01906,-0.21
-0.062220000000000004,0.09
0.00628,-0.25
-0.0908,0.27
-0.14436,-0.16
-0.23528,0.19
0.10013999999999999,0.47
0.08676,-0.47
-0.13682,-0.32
0.03774,0.38
-0.24998,0.48
0.01814,0.01
-0.0907,0.18
-0.08194000000000001,-0.32
0.07325999999999999,0.15
0.07832,0.49
0.10375999999999999,0.21
-0.16548,-0.3
