predict,target
-0.06976,-0.07
0.0626,-0.29
0.0718,0.26
0.09605999999999999,0.08
0.041420000000000005,0.45
-0.24514,-0.49
0.00254,0.34
-0.11054,-0.25
0.059640000000000006,0.49
0.005600000000000001,-0.41
0.10586000000000001,-0.32
0.0453,-0.26
0.1727,0.21
-0.111,-0.11
-0.21402000000000002,0.0
-0.025419999999999998,-0.39
-0.04782,0.23
0.01464,-0.4
-0.0438,0.11
-0.00724,0.08
-0.21758,0.17
0.01924,0.06
0.13183999999999998,0.11
0.11378,-0.43
0.10314,-0.41
-0.11596000000000001,-0.33
0.062279999999999995,0.39
-0.19111999999999998,0.42
-0.03548,-0.3
-0.02568,0.13
-0.15560000000000002,-0.27
0.1257,0.48
0.03084,-0.05
-0.04038,-0.44
-0.09416000000000001,-0.39
0.1234,0.31
-0.13982,0.25
0.31664000000000003,0.44
-0.19188,0.26
-0.002580000000000001,0.27
-0.03202,0.13
0.08417999999999999,0.07
0.10342000000000001,0.07
0.02368,-0.37
-0.07706,0.35
-0.07684,-0.37
-0.06982000000000001,-0.45
0.121,0.5
0.00124,-0.18
0.10044,-0.14
0.1073,-0.28
-0.0885,-0.32
0.07344,-0.32
-0.11092,0.2
0.09064,0.2
0.32792,0.34
-0.046959999999999995,-0.27
-0.14006,0.28
0.011040000000000001,-0.43
-0.04162,0.45
-0.048639999999999996,-0.36
0.15082,-0.08
0.17828,0.14
0.11381999999999999,-0.05
0.01272,0.49
0.12811999999999998,-0.29
0.25378,0.47
0.13258,0.33
0.01618,0.07
0.16248,-0.47
-0.02912,-0.4
0.12318,-0.14
-0.00028000000000000003,-0.44
0.2207,-0.07
0.01994,0.42
0.06534,-0.21
0.28148,-0.12
-0.04904,-0.43
0.11442000000000001,-0.21
-0.08484,0.47
-0.09132,-0.5
-0.015300000000000001,-0.1
0.02114,-0.21
-0.18122,0.13
-0.0388,0.17
0.10112,-0.2
0.011240000000000002,0.12
0.00828,-0.35
-0.03136,-0.42
-0.01608,0.46
-0.0934,-0.05
0.09316,0.25
-0.00482,0.1
0.14844,0.13
0.01496,0.44
-0.1376,0.1
0.07194,-0.49
-0.23164,-0.42
0.15422,0.05
0.14794000000000002,0.02
-0.08289999999999999,0.11
-0.09332000000000001,0.23
-0.05872,0.21
0.13942,0.03
0.15875999999999998,-0.48
0.19346,0.33
-0.08192,-0.09
-0.11734,0.07
0.01866,-0.08
0.15906,0.2
0.04614,-0.11
0.10212,-0.04
0.24952000000000002,0.41
-0.10968,0.36
