predict,target
-0.13478,-0.24
0.00968,-0.27
0.27646,0.35
-0.26655999999999996,0.42
-0.05404,-0.4
-0.00196,0.16
-0.15714,-0.02
0.08592000000000001,-0.29
-0.10674,-0.49
0.01026,-0.43
-0.16204000000000002,-0.18
-0.11448,-0.16
-0.15683999999999998,0.4
-0.14648,0.36
-0.04918,0.26
0.16806000000000001,0.16
-0.18916,-0.3
0.12598,0.2
0.22648,0.34
0.15990000000000001,-0.33
-0.12476000000000001,-0.14
-0.03854,-0.27
-0.19264,-0.06
-0.22142,-0.27
-0.20193999999999998,-0.32
0.18963999999999998,-0.06
-0.07914,-0.48
-0.09140000000000001,-0.24
0.07146,-0.47
-0.20044,-0.46
-0.03074,-0.5
-0.01778,0.02
-0.11756,-0.17
-0.18739999999999998,0.26
0.12390000000000001,0.06
-0.0571,-0.38
-0.04598,0.02
0.16391999999999998,0.49
-0.22211999999999998,-0.13
-0.011040000000000001,0.29
0.01594,-0.32
-0.06936,0.35
0.051,-0.04
-0.06276,0.39
0.21744,0.31
0.38864,0.15
-0.00384,0.2
0.13064,0.16
0.08961999999999999,-0.25
-0.11103999999999999,-0.12
-0.0033199999999999996,-0.26
-0.11944,-0.28
-0.07008,0.26
0.00676,0.45
0.00356,-0.07
-0.06784,0.04
0.14212,0.1
0.16992000000000002,0.34
-0.014879999999999999,0.15
-0.033479999999999996,0.47
-0.11359999999999999,-0.17
-0.15636,-0.21
-0.0009,-0.05
-0.15456,0.07
-0.12596,0.42
-0.04346,-0.48
-0.07664,0.15
0.1375,0.26
0.06188,-0.21
0.030379999999999997,-0.15
-0.02766,-0.07
0.02946,0.31
0.22030000000000002,0.46
-0.03536,0.14
0.031920000000000004,0.17
-0.2159,-0.42
-0.2288,0.41
-0.16704,0.44
-0.00836,-0.06
0.12158,0.19
-0.11488,0.24
0.01594,0.46
0.14184,0.02
0.01532,0.04
-0.22366,0.34
0.059219999999999995,0.47
-0.08062,0.41
-0.0935,-0.24
-0.004699999999999999,-0.08
-0.16712,0.49
-0.19390000000000002,-0.39
-0.03448,0.4
0.006860000000000001,-0.45
0.23594,0.2
-0.2122,-0.2
-0.07764,0.29
0.2212,0.49
0.04532,0.19
-0.00526,-0.13
-0.10532,0.11
-0.07232,0.23
-0.0545,-0.06
0.05776,0.02
0.23864000000000002,0.47
-0.23706,-0.28
0.014199999999999999,0.1
-0.07724,-0.32
0.16219999999999998,0.04
-0.05918,-0.02
-0.19654,-0.26
-0.28032,-0.43
0.25438,0.39
-0.05958,0.25
-0.0073,-0.22
-0.00096,-0.48
0.154,0.47
-0.10668,0.5
0.22286,-0.32
-0.00498,0.18
0.16292,0.22
0.01514,-0.44
0.0542,-0.38
0.1531,0.38
0.22210000000000002,-0.15
-0.08114,0.12
0.1215,0.16
0.05048,-0.03
-0.0010199999999999999,0.02
-0.15381999999999998,-0.02
-0.11667999999999999,-0.38
-0.16744,0.26
-0.06796,-0.29
-0.07418,0.16
-0.00148,0.29
0.05102,0.15
0.03146,-0.27
-0.06992,-0.02
-0.060759999999999995,0.11
-0.0352,-0.14
0.13986,-0.24
-0.1144,0.13
0.05638,0.04
-0.07484,0.08
