predict,target
-0.02738,-0.36
-0.24795999999999999,-0.35
0.00954,0.1
0.19085999999999997,0.0
-0.014199999999999999,0.42
-0.26893999999999996,0.16
-0.23707999999999999,-0.09
-0.22988,0.04
-0.1693,0.49
-0.03978,-0.06
0.13394,-0.18
-0.11656000000000001,-0.11
0.1324,0.34
-0.01914,0.09
0.17193999999999998,0.25
0.07568,-0.03
-0.14626,0.23
0.05742,-0.1
0.00216,-0.08
0.08118,-0.1
-0.1325,0.4
-0.03004,-0.42
0.00904,-0.22
-0.05206,0.06
-0.01594,-0.16
-0.09154,0.08
0.12572,-0.49
0.0746,0.4
-0.0285,0.02
-0.04666000000000001,0.49
0.11234,-0.48
-0.033780000000000004,0.06
0.15686,0.18
-0.08932000000000001,0.1
-0.01572,0.07
0.04474,0.11
0.11724,0.05
-0.24864,0.23
-0.06573999999999999,0.47
0.0128,0.35
-0.22734000000000001,-0.38
-0.03058,-0.31
-0.10232,-0.17
0.18802,0.08
-0.04332,0.21
-0.0018,0.17
0.10166,-0.46
-0.00218,0.29
0.14064,-0.46
-0.28565999999999997,0.39
0.1376,0.38
-0.022879999999999998,-0.32
-0.21858,-0.04
-0.06926,-0.05
0.17362,0.49
0.22698000000000002,-0.07
0.00752,0.1
0.05091999999999999,-0.27
-0.06552,-0.18
0.0311,0.1
-0.050679999999999996,-0.26
-0.0015199999999999999,-0.09
-0.01504,-0.35
0.1278,-0.41
0.08224000000000001,0.4
-0.059500000000000004,-0.43
-0.0662,0.24
0.0278,0.0
0.16538,0.46
-0.02658,0.35
-0.06122,0.31
0.16426,-0.33
-0.26182,-0.39
0.1732,-0.38
0.08752,-0.17
-0.22579999999999997,0.27
-0.2491,-0.22
-0.060599999999999994,-0.4
0.17202,-0.27
0.04872,-0.42
-0.02004,-0.47
0.015300000000000001,-0.4
0.16962,0.05
0.15412,-0.2
-0.02054,-0.35
-0.07928,-0.49
0.09358000000000001,0.28
0.1116,0.41
-0.0323,0.18
-0.14564,-0.22
0.04054,0.33
-0.0848,-0.35
0.14312,-0.15
0.02694,0.05
0.0655,0.19
-0.11804,-0.07
-0.1199,-0.31
-0.10752,0.34
-0.067,-0.45
-0.0547,-0.26
0.11378,-0.38
0.17675999999999997,-0.26
-0.01974,0.11
0.08376,-0.32
0.16424,0.15
-0.13019999999999998,-0.47
0.01572,0.4
0.1469,0.27
-0.03812,-0.32
0.02742,-0.32
-0.15322,0.33
0.11567999999999999,-0.15
0.03678,-0.02
0.15714,0.4
-0.030520000000000002,-0.48
0.03374,-0.12
