predict,target
0.08656000000000001,0.3
-0.081,-0.21
0.07882,-0.01
-0.07339999999999999,-0.1
0.11766,0.25
-0.21528,-0.34
-0.06192,-0.39
-0.00954,-0.32
-0.07222,-0.37
0.12176000000000001,0.45
0.1404,-0.45
-0.02702,-0.43
-0.10528,0.47
0.02848,0.44
-0.036000000000000004,-0.15
-0.027759999999999996,0.3
0.025840000000000002,-0.05
0.02786,-0.27
-0.11208,0.17
0.02452,0.25
0.22338000000000002,0.19
0.09762,-0.16
0.03274,-0.31
0.16184,-0.28
0.17315999999999998,-0.26
0.20776,-0.4
-0.02398,-0.31
0.07638,0.31
0.03694,0.26
0.11714000000000001,-0.23
-0.03964,0.42
0.07894,-0.27
0.15236,0.34
0.08182,0.11
0.08298,0.32
-0.02412,-0.38
-0.03618,0.06
-0.0049,0.38
0.04392,-0.13
0.13458,-0.37
0.034460000000000005,-0.31
0.20224,0.4
-0.2267,-0.36
-0.07438,0.06
0.00796,-0.43
0.05914,0.02
0.12636,-0.1
-0.22547999999999999,-0.17
-0.09295999999999999,0.16
-0.22138000000000002,-0.08
-0.08586,-0.41
0.159,0.19
0.02912,-0.46
0.00752,0.22
-0.03248,0.19
0.0518,0.49
0.0288,0.19
0.07288,0.23
0.0698,0.13
-0.02496,-0.12
0.151,-0.36
0.1219,0.01
0.18164000000000002,-0.18
0.1592,0.33
0.008539999999999999,-0.04
0.08892,-0.37
0.08392,0.0
0.03606,0.42
-0.05234,-0.31
0.04294,-0.46
-0.2311,-0.09
-0.04346,-0.27
-0.10954000000000001,0.3
-0.0572,-0.37
-0.057640000000000004,0.04
-0.056260000000000004,-0.17
-0.1016,0.2
0.07416,0.38
0.1532,0.0
0.043,-0.42
0.06482,0.15
0.12318,0.24
-0.04578,-0.17
-0.020819999999999998,-0.11
0.09519999999999999,-0.03
0.049859999999999995,0.46
-0.00116,-0.08
0.006919999999999999,-0.34
0.08048,-0.35
-0.2566,-0.47
0.06822,-0.04
0.13024,0.46
0.13446,0.2
0.15286,-0.49
0.00542,0.06
0.16468,-0.11
-0.2077,-0.39
0.17489999999999997,-0.2
0.08039999999999999,-0.45
0.08162000000000001,-0.45
-0.02322,-0.34
-0.05196,-0.16
0.0969,0.44
0.059480000000000005,-0.43
-0.054000000000000006,0.22
0.1144,0.37
0.12132,0.49
-0.10424,0.3
0.05484,-0.04
0.2094,0.37
-0.023540000000000002,-0.38
-0.01316,-0.22
0.05012,0.11
-0.08566000000000001,0.48
0.11982,0.28
0.06564,0.23
-0.09896,0.21
-0.21516,-0.44
0.08444000000000002,0.39
-0.0575,-0.41
-0.056319999999999995,0.19
-0.24902000000000002,-0.03
0.02984,0.34
0.10769999999999999,-0.35
0.013879999999999998,0.09
0.05704,0.31
0.10442,-0.48
-0.01738,0.23
-0.21722000000000002,-0.5
-0.0308,-0.29
-0.02176,-0.07
0.2126,-0.12
0.12908,-0.48
-0.07293999999999999,0.27
0.18082,0.06
0.015300000000000001,0.37
0.13708,0.3
-0.24882,-0.41
0.032959999999999996,0.39
-0.0863,-0.2
0.08651999999999999,-0.01
0.00942,-0.14
0.00172,0.09
0.17592,-0.18
0.00614,0.15
0.0882,0.45
-0.22402,-0.45
-0.06638,-0.46
0.03274,-0.2
-0.1056,-0.01
0.0759,-0.38
-0.00932,0.19
0.06748,-0.08
0.07962,0.41
0.01126,0.12
-0.0161,-0.17
0.12147999999999999,0.22
-0.07307999999999999,0.43
-0.03784,0.16
0.09226000000000001,-0.11
0.17873999999999998,0.26
0.1035,0.25
-0.25914000000000004,-0.14
-0.026459999999999997,0.25
-0.0739,0.37
0.08194000000000001,-0.07
-0.02476,-0.39
0.08906,-0.29
-0.05606,0.37
0.009300000000000001,-0.48
0.08006,-0.29
0.06684,0.23
0.12112,0.23
0.21109999999999998,0.29
0.11172,-0.03
0.02036,-0.12
0.12842,0.27
-0.0387,-0.09
-0.17186,-0.46
-0.07496,0.01
-0.11798,-0.49
0.05864,-0.13
-0.07454,-0.11
0.17058,0.37
-0.10418,-0.2
0.01718,-0.27
-0.01506,0.17
0.02536,-0.19
0.06912,-0.21
-0.08257999999999999,-0.24
-0.06138,0.45
0.10604,-0.09
0.031760000000000004,0.45
0.00244,0.1
0.02634,0.04
-0.11518,-0.38
-0.01934,-0.08
-0.04552,-0.14
-0.0605,-0.4
-0.04792,0.16
-0.05578,-0.41
0.10401999999999999,0.18
-0.0446,-0.47
0.08394,-0.28
0.03424,0.34
-0.008,0.42
0.10766,0.23
0.05454,-0.03
0.15878,0.06
-0.02866,0.14
-0.0014000000000000002,-0.02
0.14254,0.31
-0.07662,-0.5
0.1288,-0.28
0.16428,0.22
-0.08308,0.43
0.0199,-0.23
-0.14134,-0.41
-0.03686,0.06
0.1188,-0.02
0.08832000000000001,0.23
-0.24666,-0.06
0.01458,0.07
0.08276,0.47
0.1986,0.39
-0.035379999999999995,0.42
0.00986,-0.49
0.1067,0.25
-0.04994,-0.21
-0.2144,-0.19
0.15073999999999999,-0.15
-0.0593,-0.48
-0.01702,0.14
-0.07748000000000001,-0.0
0.047119999999999995,0.33
0.0842,0.27
-0.00664,-0.47
