predict,target
-0.17128,0.18
0.0028599999999999997,0.42
0.036379999999999996,0.35
0.042519999999999995,-0.32
0.012580000000000001,0.35
-0.00994,0.36
-0.16862,-0.19
-0.01242,0.11
0.02008,0.36
0.12218,0.15
0.0286,0.49
-0.07658000000000001,-0.14
0.15460000000000002,0.46
-0.09881999999999999,-0.36
0.05878,0.03
-0.06902,0.5
0.0017199999999999984,-0.32
0.08498,0.35
0.20878,0.42
0.09656,0.25
-0.0786,0.13
-0.27762,-0.12
-0.09298000000000001,0.04
-0.09724000000000001,-0.46
0.07514,-0.48
-0.22664,-0.48
-0.054779999999999995,0.35
0.04896,0.45
-0.07072,0.12
0.0629,0.16
0.13164,-0.13
-0.07396,0.33
-0.2503,-0.29
0.24322,0.35
-0.19864,0.27
0.00042,0.48
-0.07636,0.12
0.00634,-0.13
-0.06328,0.24
-0.18478000000000003,-0.4
-0.25408000000000003,0.06
-0.1274,0.04
-0.23385999999999998,0.38
0.07038,-0.05
-0.05882,0.03
-0.00592,-0.12
0.00506,-0.2
-0.13566,-0.45
0.06046,0.45
-0.11564,0.03
-0.1332,0.31
0.20052,-0.05
-0.0375,0.41
0.11496,-0.03
-0.20606000000000002,-0.44
0.042480000000000004,0.42
0.16672,0.35
-0.09022000000000001,-0.06
-0.00768,-0.39
-0.11474000000000001,0.21
0.05174,-0.4
0.13694,0.37
-0.01746,0.41
0.01276,0.02
0.03484,0.14
0.10906,0.5
-0.17958,0.36
-0.10374,-0.29
-0.18966000000000002,0.43
0.16128,0.42
-0.09944000000000001,0.2
-0.07769999999999999,-0.14
-0.15464,0.44
0.047939999999999997,0.24
-0.16296,-0.31
-0.2937,-0.43
0.0254,-0.37
-0.043280000000000006,-0.07
-0.21532,0.02
0.0347,-0.4
-0.13102,-0.05
0.16182,0.05
-0.15792,-0.46
-0.15988,0.28
0.1389,-0.01
0.0839,0.24
-0.06288,-0.43
-0.076,-0.32
0.13714,0.03
0.24001999999999998,0.31
-0.1334,-0.39
-0.11444000000000001,-0.01
0.0849,0.44
0.057359999999999994,0.08
0.08474,-0.13
0.04064,-0.08
0.09224,0.24
-0.2506,-0.07
-0.04176,-0.41
-0.08932000000000001,-0.46
0.04584,0.0
-0.059800000000000006,0.48
0.08178,0.11
-0.028839999999999998,0.25
0.1338,0.29
0.18006,0.42
-0.09172000000000001,-0.22
0.17828,0.23
0.00302,0.26
-0.15012,-0.22
0.01768,-0.06
-0.12554,-0.3
-0.1734,-0.12
