0,3,6,174.661,233.155,322.414
0,4,1,50.033,237.724,213.305
6,1,8,216.426,270.615,324.836
6,8,0,6.226,129.019,335.03
6,5,7,281.602,83.348,320.096
3,3,8,114.827,340.064,126.117
8,5,5,184.543,202.898,33.783
5,7,8,225.832,193.265,344.679
2,2,3,273.245,310.171,195.022
1,3,2,274.842,231.579,313.921
5,0,7,46.792,329.453,287.412
2,5,2,47.976,194.819,9.162
7,1,8,8.942,353.087,316.108
4,4,6,120.221,267.401,18.048
6,4,6,158.171,272.948,124.508
3,1,8,341.324,1.418,302.374
6,8,2,343.779,41.766,30.434
7,8,2,153.437,332.149,163.597
6,5,5,17.873,355.269,203.971
4,0,6,84.325,183.961,23.117
2,2,7,16.09,52.216,188.064
3,4,0,185.182,272.399,36.63
7,5,2,276.724,211.35,353.837
8,5,1,219.643,134.564,23.362
6,2,6,149.594,127.95,355.777
7,5,4,308.841,39.13,241.194
0,3,5,154.047,21.304,100.659
1,7,2,39.69,106.716,190.531
2,7,6,338.751,181.784,108.436
0,8,1,200.42,252.645,252.0
5,0,0,291.573,127.75,285.221
6,1,8,97.007,176.334,278.848
3,7,5,200.885,163.876,4.364
0,2,0,357.517,88.322,57.846
2,0,5,119.793,343.741,253.343
6,7,7,5.239,49.927,39.171
5,3,0,157.989,324.849,15.676
5,2,2,231.056,100.518,128.388
6,2,3,227.195,103.243,131.217
4,6,6,133.786,343.241,352.145
3,7,6,206.663,4.456,300.545
8,5,8,281.482,194.025,70.574
7,3,2,262.679,208.07,259.277
4,0,8,283.028,98.975,19.807
7,2,8,64.123,299.81,273.807
5,1,0,69.727,351.068,126.39
3,3,8,196.081,92.982,10.158
8,3,8,348.646,219.088,358.112
5,1,8,54.862,170.008,222.368
4,0,3,316.871,80.766,81.653
6,0,5,106.216,86.219,285.468
8,5,2,65.963,221.18,280.461
5,8,2,176.146,306.163,103.866
4,3,0,353.922,268.251,261.201
2,2,8,143.356,217.073,2.725
6,7,4,250.371,150.475,181.707
6,1,8,249.157,61.729,209.152
3,6,1,149.68,103.216,151.289
2,3,7,46.975,152.298,60.929
8,0,5,82.428,185.716,353.313
1,7,3,132.287,63.823,268.486
5,3,4,211.482,163.571,23.074
1,1,1,234.998,206.934,56.541
4,6,2,61.551,335.582,153.964
3,6,1,320.993,30.512,273.987
3,6,7,304.04,227.212,184.573
